time_key,music_key,grammy_key,popularity,has_grammy_match
,1551,,75,False
,1552,,22,False
,1553,,52,False
,1554,,12,False
,1555,,47,False
,1556,,27,False
,1557,,8,False
,1558,,10,False
,1559,,7,False
,1560,,23,False
,1561,,18,False
,1562,,47,False
,1563,,48,False
,1564,,35,False
,1565,,21,False
,1566,,0,False
,1567,,23,False
,1568,,43,False
,1569,,58,False
,1570,,0,False
,1571,,22,False
,1572,,50,False
,1573,,31,False
,1574,,23,False
,1575,,50,False
,1576,,59,False
,1577,,62,False
,1578,,42,False
,1579,,19,False
,1580,,57,False
,1581,,12,False
,1582,,43,False
,1583,,18,False
,1584,,0,False
,1585,,24,False
,1586,,0,False
,1587,,49,False
,1588,,79,False
,1589,,1,False
,1590,,52,False
,1591,,51,False
,1592,,35,False
,1593,,22,False
,1594,,0,False
,1595,,44,False
,1596,,46,False
,1597,,20,False
,1598,,38,False
,1599,,34,False
,1600,,60,False
,1601,,25,False
,1602,,22,False
,1603,,36,False
,1604,,48,False
,1605,,22,False
,1606,,35,False
,1607,,40,False
,1608,,51,False
,1609,,34,False
,1610,,60,False
,1611,,8,False
,1612,,1,False
,1613,,26,False
,1614,,63,False
,1615,,70,False
,1616,,51,False
,1617,,41,False
,1618,,53,False
,1619,,5,False
,1620,,85,False
,1621,,18,False
,1622,,20,False
,1623,,0,False
,1624,,37,False
,1625,,9,False
,1626,,28,False
,1627,,23,False
,1628,,0,False
,1629,,54,False
,1630,,30,False
,1631,,55,False
,1632,,38,False
,1633,,29,False
,1634,,41,False
,1635,,22,False
,1636,,19,False
,1637,,40,False
,1638,,0,False
,1639,,47,False
,1640,,67,False
,1641,,26,False
,1642,,38,False
,1643,,40,False
,1644,,22,False
,1645,,19,False
,1646,,41,False
,1647,,41,False
,1648,,0,False
,1649,,61,False
,1650,,27,False
,1651,,28,False
,1652,,56,False
